  QueueTimes | ServiceTimes | SojournTimes
       0.016 |        6.326 |        6.342
       0.014 |        6.067 |        6.081
       0.014 |        6.632 |        6.646
       0.012 |        6.078 |        6.090
       0.016 |        6.167 |        6.183
       0.128 |        7.168 |        7.296
       0.534 |        6.577 |        7.111
       0.407 |        5.920 |        6.327
       0.015 |        7.202 |        7.216
       0.012 |        6.106 |        6.119
       0.014 |        6.214 |        6.228
       0.012 |        6.891 |        6.903
       0.016 |        6.303 |        6.319
       0.053 |        6.837 |        6.889
       1.601 |        6.192 |        7.793
       2.346 |        6.485 |        8.831
       2.954 |        6.273 |        9.227
       4.300 |        6.022 |       10.322
       0.482 |        5.882 |        6.364
       0.014 |        5.979 |        5.994
       0.015 |        7.673 |        7.689
       1.817 |        7.957 |        9.774
       1.752 |        6.146 |        7.898
       2.100 |        6.267 |        8.368
       0.121 |        6.739 |        6.860
       0.016 |        8.228 |        8.244
       0.015 |        6.336 |        6.351
       0.595 |        6.343 |        6.939
       1.361 |        7.464 |        8.826
       0.017 |        8.238 |        8.254
       1.406 |        6.773 |        8.179
       0.578 |        6.678 |        7.256
       1.325 |        6.533 |        7.858
       0.342 |        6.135 |        6.477
       0.902 |        7.377 |        8.279
       0.017 |        7.002 |        7.018
       2.871 |        6.066 |        8.937
       0.016 |        6.780 |        6.796
       0.016 |        6.398 |        6.414
       0.016 |        6.488 |        6.504
       0.243 |        6.184 |        6.427
       0.016 |        6.300 |        6.316
       0.326 |        6.150 |        6.476
       0.016 |        8.971 |        8.987
       0.015 |        8.534 |        8.550
       0.014 |        6.130 |        6.144
       0.014 |        6.814 |        6.829
       0.262 |        7.074 |        7.335
       1.040 |        6.208 |        7.248
       0.924 |        6.272 |        7.196
       1.264 |        8.667 |        9.932
       0.382 |        6.202 |        6.584
       0.016 |        7.221 |        7.237
       0.744 |        8.601 |        9.345
       0.793 |        6.263 |        7.056
       0.584 |        6.484 |        7.068
       0.013 |        6.292 |        6.305
       0.016 |        8.214 |        8.231
       4.159 |        6.328 |       10.487
       3.717 |        6.572 |       10.289
       1.958 |        7.316 |        9.274
       3.243 |        6.310 |        9.553
       1.709 |        6.718 |        8.427
       2.658 |        6.357 |        9.014
       1.486 |        6.187 |        7.674
       2.433 |        6.251 |        8.685
       2.819 |        6.272 |        9.092
       0.416 |        6.388 |        6.804
       0.016 |        7.895 |        7.911
       0.012 |        6.013 |        6.026
       0.258 |        5.805 |        6.063
       0.016 |        6.426 |        6.442
       0.424 |        6.545 |        6.969
       1.115 |        6.935 |        8.050
       0.014 |        5.969 |        5.983
       0.013 |        7.071 |        7.083
       0.149 |        7.120 |        7.269
       0.014 |        7.470 |        7.484
       0.889 |        5.925 |        6.814
       1.425 |        7.948 |        9.373
       2.455 |        6.313 |        8.769
       2.611 |        5.944 |        8.554
       0.850 |        6.499 |        7.349
       1.262 |        6.275 |        7.536
       0.838 |        7.246 |        8.085
       2.845 |        6.960 |        9.805
       2.852 |        6.760 |        9.612
       3.568 |        6.306 |        9.873
       0.033 |        6.312 |        6.345
       0.474 |        6.299 |        6.772
       1.298 |        7.567 |        8.865
       0.013 |        6.706 |        6.719
       0.733 |        6.255 |        6.988
       0.045 |        6.000 |        6.045
       0.016 |        5.874 |        5.891
       0.145 |        6.342 |        6.488
       0.569 |        8.545 |        9.114
       1.268 |        6.187 |        7.454
       1.396 |        5.854 |        7.250
       0.693 |        6.080 |        6.773
       0.058 |        5.903 |        5.961
       0.014 |        8.775 |        8.789
       3.329 |        7.942 |       11.272
       5.204 |        6.498 |       11.702
       6.014 |        5.991 |       12.005
       0.916 |        6.197 |        7.113
       0.013 |        5.874 |        5.887
       0.016 |        6.788 |        6.804
       1.060 |        6.127 |        7.187
       1.207 |        7.485 |        8.692
       1.617 |        6.525 |        8.142
       1.869 |        6.592 |        8.461
       2.140 |        6.064 |        8.204
       4.026 |        6.039 |       10.065
       3.596 |        6.598 |       10.194
       1.136 |        5.956 |        7.093
       1.065 |        6.461 |        7.526
       0.016 |        6.905 |        6.921
       1.067 |        6.263 |        7.329
       0.669 |        5.984 |        6.653
       0.014 |        5.765 |        5.779
       0.016 |        6.083 |        6.099
       0.014 |        7.016 |        7.030
       1.362 |        7.043 |        8.404
       3.096 |        6.625 |        9.721
       0.269 |        6.458 |        6.727
       0.016 |        6.477 |        6.493
       1.410 |        6.564 |        7.975
       0.016 |        6.423 |        6.439
       0.014 |        6.357 |        6.371
       0.014 |        6.439 |        6.453
       1.229 |        6.916 |        8.145
       0.014 |        6.718 |        6.731
       0.349 |        6.429 |        6.778
       1.231 |        6.152 |        7.383
       0.014 |        7.683 |        7.698
       1.175 |        7.379 |        8.554
       2.966 |        7.630 |       10.596
       5.100 |        6.181 |       11.280
       5.554 |        6.887 |       12.441
       0.113 |        6.039 |        6.152
       0.016 |        6.188 |        6.204
       0.014 |        6.075 |        6.089
       0.016 |        6.127 |        6.143
       0.015 |        6.937 |        6.952
       1.638 |        6.857 |        8.495
       0.623 |        6.264 |        6.887
       0.990 |        6.755 |        7.746
       0.014 |        6.314 |        6.328
       0.015 |        6.787 |        6.802
       2.538 |        6.366 |        8.904
       0.016 |        7.922 |        7.938
       0.906 |        6.753 |        7.659
       0.014 |        7.408 |        7.422
       0.082 |        8.889 |        8.971
       0.550 |        6.273 |        6.824
       0.013 |        7.118 |        7.131
       0.016 |        6.189 |        6.205
       0.014 |        6.136 |        6.150
       0.415 |        6.648 |        7.063
       1.850 |        6.133 |        7.983
       0.014 |        6.796 |        6.811
